feature,importance
b'\xd8\xa2\xd8\xa6\xda\x86\xd9\x87',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c',8.16715589597e-08
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x85',5.68897243837e-08
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86',6.39890871738e-05
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd8\xa9',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87',1.95101035877e-05
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xd9\x94',1.35430339826e-07
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xd9\x87\xe2\x80\x8c\xd9\x86\xd9\x85\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa6\xdb\x8c\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa7\xd9\x86\xd8\xaf\xd9\x87\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8',0.000652060108744
b'\xd8\xa2\xd8\xa8\xd8\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\x9f',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7',1.68932028256e-09
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd8\xa7\xd9\x86',1.82466865608e-09
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd8\xb3\xd8\xaa',8.05795643296e-05
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x85',6.94099783257e-05
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x85\xe2\x80\x8c\xda\xa9\xd9\x86\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x86\xdb\x8c\xd8\xa7\xd8\xa8\xd9\x86\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x87\xd8\xa7',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xda\xa9\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xd9\x85',2.00437438848e-08
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd8\xaf\xdb\x8c\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd9\x82\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xa7\xdb\x8c',7.11688468378e-08
b'\xd8\xa2\xd8\xa8\xd8\xa8\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaa',8.01998990268e-08
b'\xd8\xa2\xd8\xa8\xd8\xaa\xd8\xa7\xd9\x86',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xa7\xd8\xb1',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1',0.00020073536002
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd8\xaf',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd8\xaf\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xae\xd9\x88\xd8\xb1\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1',3.38061864771e-08
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xaa\xe2\x80\x8c\xda\xa9\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x85\xe2\x80\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xa7\xd8\xb1\xdb\x8c',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb3\xd8\xaa',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb3\xd8\xaa\xd9\x85',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd8\xb4',0.0
b'\xd8\xa2\xd8\xa8\xd8\xaf\xd9\x87',0.0
b'\xd8\xa2\xd8\xa8\xd8\xb1\xd9\x88',1.68993013643e-05
