feature,importance
احتساب,1.50399058389e-09
احتشام,4.38183027202e-07
احتلام,5.05079487053e-07
احتلم,0.0
احتما,6.79065405056e-09
احتمال,7.3892366071e-06
احتمالت,1.86828270643e-08
احتمالی,6.69989182336e-05
احتکر,7.38189799987e-08
احتیاج,6.24020595229e-05
احتیاط,8.68224557009e-07
احتیالم,1.73804138356e-08
احتیالی,1.26102026777e-06
احجالها,1.82344787094e-10
احد,6.97733058761e-06
احداث,1.35347065781e-07
احدم,1.70517764621e-07
احدی,3.21510128454e-07
احرار,1.84629315622e-06
احراق,9.60522542426e-07
احرام,0.000200378751399
احزان,0.000173912224485
احزانم,1.79035233449e-07
احزاننا,6.76613033894e-13
احسان,2.41504633983e-05
احسانا,2.57927168866e-07
احسانت,2.52133499034e-06
احسانش,9.934518006e-07
احسانم,7.01118208673e-07
احسانی,2.1052665898e-05
احسن,6.90237105377e-07
احسنت,1.15215848207e-05
احسنه,1.67439232763e-06
احصیی,1.7896265726e-07
احلام,3.82690200173e-07
احلف,0.0
احلی,4.2658132667e-05
احمال‌ها,2.5332474533e-08
احمد,1.60176492967e-05
احمدست,3.62143974191e-08
احمدش,2.80033727934e-08
احمدم,2.00429853607e-09
احمدی,1.51793321971e-05
احمدیم,2.6803677795e-07
احمر,1.1414602306e-05
احمرست,2.18535417844e-06
احمری,6.01517785442e-08
احمریم,7.32115548975e-05
احمق,2.80649258212e-05
احمقم,2.77975414587e-07
احمقی,7.68147628552e-09
احوال,0.000181261168784
احوالم,2.33941281445e-07
احوالها,3.85743908041e-07
احوالک,7.95794385122e-07
احوال‌ها,5.07230734381e-08
احول,3.75504353621e-07
احولان,1.91477391891e-08
احولانست,2.7491451321e-07
احولست,9.34414531312e-07
احولی,1.69001758683e-06
احکام,5.70145602808e-07
احیا,1.36256441786e-07
احیائه,3.46491432813e-08
احیاست,7.63146650334e-11
احیانا,1.84118847596e-06
احیاکم,1.91656126236e-07
احیای,5.62318659067e-05
احیی,1.0937398538e-07
احییتهم,2.466534293e-11
اخ,4.81046823031e-06
اخاف,1.0763402359e-09
اخالص,3.87577871394e-07
اخبار,3.38237699576e-06
اخبارنا,3.87434092199e-09
اخبرنی,1.73445916277e-12
اختر,0.000109889136887
اختران,3.2257820718e-05
اخترانت,6.86674774569e-07
اخترانی,3.19694521599e-07
